Year,EW,Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020,1,1/3/2020,KH,Cambodia,WPRO,0,0,0,0
2020,1,1/4/2020,KH,Cambodia,WPRO,0,0,0,0
2020,2,1/5/2020,KH,Cambodia,WPRO,0,0,0,0
2020,2,1/6/2020,KH,Cambodia,WPRO,0,0,0,0
2020,2,1/7/2020,KH,Cambodia,WPRO,0,0,0,0
2020,2,1/8/2020,KH,Cambodia,WPRO,0,0,0,0
2020,2,1/9/2020,KH,Cambodia,WPRO,0,0,0,0
2020,2,1/10/2020,KH,Cambodia,WPRO,0,0,0,0
2020,2,1/11/2020,KH,Cambodia,WPRO,0,0,0,0
2020,3,1/12/2020,KH,Cambodia,WPRO,0,0,0,0
2020,3,1/13/2020,KH,Cambodia,WPRO,0,0,0,0
2020,3,1/14/2020,KH,Cambodia,WPRO,0,0,0,0
2020,3,1/15/2020,KH,Cambodia,WPRO,0,0,0,0
2020,3,1/16/2020,KH,Cambodia,WPRO,0,0,0,0
2020,3,1/17/2020,KH,Cambodia,WPRO,0,0,0,0
2020,3,1/18/2020,KH,Cambodia,WPRO,0,0,0,0
2020,4,1/19/2020,KH,Cambodia,WPRO,0,0,0,0
2020,4,1/20/2020,KH,Cambodia,WPRO,0,0,0,0
2020,4,1/21/2020,KH,Cambodia,WPRO,0,0,0,0
2020,4,1/22/2020,KH,Cambodia,WPRO,0,0,0,0
2020,4,1/23/2020,KH,Cambodia,WPRO,0,0,0,0
2020,4,1/24/2020,KH,Cambodia,WPRO,0,0,0,0
2020,4,1/25/2020,KH,Cambodia,WPRO,0,0,0,0
2020,5,1/26/2020,KH,Cambodia,WPRO,0,0,0,0
2020,5,1/27/2020,KH,Cambodia,WPRO,5,5,0,0
2020,5,1/28/2020,KH,Cambodia,WPRO,-4,1,0,0
2020,5,1/29/2020,KH,Cambodia,WPRO,0,1,0,0
2020,5,1/30/2020,KH,Cambodia,WPRO,0,1,0,0
2020,5,1/31/2020,KH,Cambodia,WPRO,0,1,0,0
2020,5,2/1/2020,KH,Cambodia,WPRO,0,1,0,0
2020,6,2/2/2020,KH,Cambodia,WPRO,0,1,0,0
